legacy_path	action	replacement_paths	rationale
contrib/satcompute/tests/unit/analysis/topology_interval/test_downsample_scenario.py	replaced	contrib/satcompute/tests/unit/analysis/topology_interval/test_downsample_trace.py	职责由完整 scenario 改为 topology trace
contrib/satcompute/tests/unit/analysis/topology_interval/test_report.py	replaced	contrib/satcompute/tests/unit/analysis/topology_interval/test_edge_state.py;contrib/satcompute/tests/unit/analysis/topology_interval/test_ecmp_candidates.py	旧冻结报告由可重算的边状态和 ECMP 指标替代
contrib/satcompute/tests/unit/analysis/topology_interval/test_route_probe.py	replaced	contrib/satcompute/tests/unit/routing-compatibility-test.cc;contrib/satcompute/tests/unit/routing-policy-factory-test.cc	真实 C++ 候选和策略入口取代旧审计 executable
contrib/satcompute/tests/unit/analysis/topology_interval/test_run_interval_study.py	replaced	contrib/satcompute/tests/integration/smoke/interval_analysis.py;contrib/satcompute/tests/unit/topology-replay-equivalence-test.cc	当前 trace 间隔 smoke 和 replay 等价门禁
contrib/satcompute/tests/unit/generation/scenario/_helpers.py	replaced	contrib/satcompute/tests/support/fixtures.py	共享 fixture 构造器上移到 support
contrib/satcompute/tests/unit/generation/scenario/test_check_scenario.py	replaced	contrib/satcompute/tests/unit/generation/scenario/test_input_bundle_schema.py	完整 scenario checker 改为独立 input bundle 合同
contrib/satcompute/tests/unit/generation/scenario/test_configuration.py	replaced	contrib/satcompute/tests/unit/generation/scenario/test_input_bundle.py	运行配置归 para，场景层只组合独立数据
contrib/satcompute/tests/unit/generation/scenario/test_generate_scenario.py	replaced	contrib/satcompute/tests/unit/generation/scenario/test_input_bundle.py	不再生成完整运行 JSON
contrib/satcompute/tests/unit/generation/topology/__init__.py	replaced	contrib/satcompute/tests/unit/test_topology_generation_checker.py	当前 topology checker 测试位于 unit 根层
contrib/satcompute/tests/unit/generation/topology/test_check_export.py	replaced	contrib/satcompute/tests/unit/test_topology_generation_checker.py	当前 manifest 和哈希 checker
contrib/satcompute/tests/unit/generation/topology/test_common_output.py	replaced	contrib/satcompute/tests/unit/test_topology_generation_checker.py;contrib/satcompute/tests/unit/topology-trace-exporter-test.cc	原子输出由 C++ exporter 和 Python checker 共同覆盖
contrib/satcompute/tests/unit/generation/topology/test_configuration.py	replaced	contrib/satcompute/tests/unit/test_constellation_schema.py;contrib/satcompute/tests/unit/para-test.cc	物理星座与运行参数拆分验证
contrib/satcompute/tests/unit/generation/topology/test_dynamic_export.py	replaced	contrib/satcompute/tests/unit/topology-trace-exporter-test.cc;contrib/satcompute/tests/unit/topology-replay-equivalence-test.cc	共享 C++ exporter 和 replay 等价
contrib/satcompute/tests/unit/generation/topology/test_dynamic_isls.py	replaced	contrib/satcompute/tests/unit/online-topology-controller-test.cc	固定候选和距离门控由 online controller 验证
